text,label
NOTE DE FRAIS Employ : Employee 30 D partement: Sales Date: 21/1/2023 Type de d pense: Office Supplies Montant: 346.21 Justificatif: Receipt scan,expense_report
order id 10528 shipping details ship name great lakes food market ship address 2732 baker blvd. ship city eugene ship region north america ship postal code 97403 ship country usa customer details customer id greal customer name great lakes food market employee details employee name michael suyama shipper details shipper id 2 shipper name united package order details order date 2017-05-06 shipped date 2017-05-09 products product queso cabrales quantity 3 unit price 21 0 total 63 0 product geitost quantity 8 unit price 2 5 total 20 0 product mozzarella di giovanni quantity 9 unit price 34 8 total 313 2 total price total price 396 2,shipping_orders
EXPENSE REPORT Employee: Employee 81 Department: HR Date: 15/12/2023 Expense type: Other Amount: $275.63 Receipts: Receipt scan,expense_report
"Company: GOLDEN ARCHES SDN BHD Date: 25/12/2016 Address: LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3 NO.3, JALAN SS21/39,47400 PETALING JAYA SELANGOR Total: RM29.30",receipt
"Invoice Order ID: 10291 Customer ID: QUEDE Order Date: 2016-08-27 Customer Details: Contact Name: Bernardo Batista Address: Rua da Panificadora, 12 City: Rio de Janeiro Postal Code: 02389-673 Country: Brazil Phone: (21) 555-4252 Fax: (21) 555-4545 Product Details: Product ID Product Name Quantity Unit Price 13 Konbu 20 4.8 44 Gula Malacca 24 15.5 51 Manjimup Dried Apples 2 42.4 TotalPrice 552.8 Page 1",invoice
Purchase Orders Order ID Order Date Customer Name 11051 2018-04-27 Annette Roulet Products Product ID: Product: Quantity: Unit Price: 24 Guaran Fant stica 10 4.5 Page 1,purchase_order
BON DE COMMANDE Commande N : PO-5216 Date: 03/02/2025 Fournisseur: Bureau Vall e Client: Office Pro 10 x Laptop Dell XPS 15 - Prix unitaire: 188.36 - Total: 1883.60 10 x Serveur HP ProLiant - Prix unitaire: 212.29 - Total: 2122.90 6 x Filing Cabinet - Prix unitaire: 308.05 - Total: 1848.30 Total HT: 5854.80 Total TTC: 6440.28,purchase_order
BON DE LIVRAISON BL N : DN-9533 Date: 26/3/2023 Client: Client 77 Commande N : PO-9924 Articles livr s: 20 x Item 1 Transporteur: Carrier 2,delivery_note
Purchase Orders Order ID Order Date Customer Name 10899 2018-02-20 Carlos Gonz lez Products Product ID: Product: Quantity: Unit Price: 39 Chartreuse verte 8 18 Page 1,purchase_order
"Company: YONG CEN Date: 06/01/2018 Address: 9, JALAN SUBANG JASA 3, 40150 SHAH ALAM, SELANGOR. Total: RM65.70",receipt
invoice order id 10985 customer id hungo order date 2018-03-30 customer details contact name patricia mckenna address 8 johnstown road city cork postal code none country ireland phone 2967 542 fax 2967 3333 product details product id product name quantity unit price 16 pavlova 36 17 45 18 carnarvon tigers 8 62 5 32 mascarpone fabioli 35 32 0 totalprice 2248 2 page 1,invoice
