text,label
"FACTURE
N° Facture: INV-12345
Date: 15/06/2023
Client: ABC Company
Montant HT: 1500.00
TVA: 300.00
Total TTC: 1800.00",invoice
"INVOICE
Invoice Number: INV-678910
Date: July 10, 2023
Customer: XYZ Corporation
Subtotal: $2,000.00
Tax: $200.00
Total: $2,200.00",invoice
"فاتورة
رقم الفاتورة: INV-5432
تاريخ: 12/05/2023
العميل: شركة المستقبل
المبلغ: 3000.00
ضريبة القيمة المضافة: 150.00
الإجمالي: 3150.00",invoice
"FACTURE À ENVOYER À
N° Facture: 7890
Date d'émission: 03/07/2023
Échéance: 30 jours
Client: Dupont SA
Montant: 750.00€
TVA: 150.00€
Total: 900.00€",invoice
"FACTURE
ÉCHÉANCE: 15 jours
N° Facture: FC-2023-456
Date: 22/04/2023
Client: Martin SARL
Prix HT: 650.00€
TVA (20%): 130.00€
Total TTC: 780.00€",invoice
"INVOICE
Due Date: 30 days
Invoice #: 202304-555
Date: April 15, 2023
Bill To: Johnson Inc.
Amount: $1,250.00
Tax: $112.50
Total Due: $1,362.50",invoice
"فاتورة ضريبية
رقم: 20230789
تاريخ الإصدار: 10/03/2023
تاريخ الاستحقاق: 10/04/2023
العميل: مؤسسة النور
إجمالي المبلغ: 4500.00
ضريبة (15%): 675.00
المجموع: 5175.00",invoice
"Facture d'achat
Numéro: FA-2023-789
Date: 05/05/2023
Fournisseur: Tech Solutions
Articles: Matériel informatique
Montant net: 2340.00€
TVA: 468.00€
À payer: 2808.00€",invoice
"FACTURE PROFORMA
Référence: PF-2023-123
Date: 12/06/2023
Client: Entreprise Moderne
Détails: Consultation
Prix unitaire: 800.00€
Quantité: 4
Total: 3200.00€",invoice
"Invoice Receipt
Receipt #: REC-789456
Transaction Date: May 18, 2023
Customer Name: Smith LLC
Items: Professional Services
Amount: $3,500.00
Paid via: Bank Transfer",invoice
"DEVIS
N° Devis: DEV-1234
Date: 15/05/2023
Client: ABC Company
Désignation: Installation système informatique
Montant HT: 2500.00
TVA: 500.00
Total TTC: 3000.00
Validité: 30 jours",quote
"QUOTATION
Quote #: QT-5678
Date: May 20, 2023
Customer: XYZ Corporation
Description: IT Consulting Services
Subtotal: $3,000.00
Tax: $300.00
Total: $3,300.00
Valid until: June 20, 2023",quote
"BON DE COMMANDE
N° BC: BC-7890
Date: 10/06/2023
Fournisseur: Tech Solutions
Articles: 5 x Ordinateurs portables
Prix unitaire: 800.00€
Total: 4000.00€
Délai de livraison: 10 jours",purchase_order
"PURCHASE ORDER
PO Number: PO-4567
Date: June 5, 2023
Vendor: Office Supplies Inc.
Items: 20 x Office chairs
Unit price: $120.00
Total: $2,400.00
Delivery terms: FOB Destination",purchase_order
"BON DE LIVRAISON
N° BL: BL-1234
Date: 20/06/2023
Client: Martin SARL
Commande N°: BC-7890
Articles livrés: 5 x Ordinateurs portables
Transporteur: Express Delivery
Signature: _________",delivery_note
"DELIVERY NOTE
Delivery #: DN-5678
Date: June 25, 2023
Customer: Johnson Ltd
Order reference: PO-4567
Items delivered: 20 x Office chairs
Carrier: Fast Logistics
Received by: _________",delivery_note
"REÇU DE PAIEMENT
N° Reçu: RC-1234
Date: 30/06/2023
Client: Dupont & Fils
Montant: 750.00€
Mode de paiement: Carte bancaire
Pour: Services de maintenance
Signature: _________",receipt
"PAYMENT RECEIPT
Receipt #: REC-5678
Date: June 30, 2023
Customer: Smith & Co
Amount: $1,200.00
Payment method: Bank transfer
For: Consulting services
Authorized signature: _________",receipt
