text,label
"SERVICE AGREEMENT
This Service Agreement (""Agreement"") is entered into on [DATE] between [COMPANY NAME], a [STATE] corporation (""Company""), and [CLIENT NAME] (""Client"").

1. SERVICES
Company agrees to provide the following services to Client:
- Software development services
- Technical consulting
- System maintenance and support

2. TERM
This Agreement shall commence on [START DATE] and shall continue for a period of twelve (12) months, unless terminated earlier in accordance with the terms herein.

3. COMPENSATION
Client agrees to pay Company a total fee of $[AMOUNT] for the services described herein. Payment shall be made in monthly installments of $[MONTHLY AMOUNT].

4. CONFIDENTIALITY
Both parties acknowledge that they may have access to certain confidential information of the other party. Each party agrees to maintain the confidentiality of such information.

5. TERMINATION
Either party may terminate this Agreement upon thirty (30) days written notice to the other party.

6. GOVERNING LAW
This Agreement shall be governed by and construed in accordance with the laws of [STATE].

IN WITNESS WHEREOF, the parties have executed this Agreement as of the date first written above.

[COMPANY NAME]                    [CLIENT NAME]
By: _________________            By: _________________
Name: [NAME]                     Name: [NAME]
Title: [TITLE]                   Title: [TITLE]",contract
"EMPLOYMENT AGREEMENT
This Employment Agreement (""Agreement"") is made between [COMPANY NAME] (""Company"") and [EMPLOYEE NAME] (""Employee"").

1. POSITION AND DUTIES
Employee is hired as [POSITION TITLE] and shall perform duties as assigned by Company's management.

2. COMPENSATION
Employee's annual salary shall be $[SALARY AMOUNT], payable in accordance with Company's standard payroll practices.

3. BENEFITS
Employee shall be entitled to participate in Company's benefit plans, including health insurance, retirement plans, and paid time off.

4. CONFIDENTIALITY AND NON-DISCLOSURE
Employee agrees to maintain the confidentiality of Company's proprietary information and trade secrets.

5. NON-COMPETE
During employment and for [TIME PERIOD] after termination, Employee agrees not to compete with Company's business.

6. TERMINATION
This Agreement may be terminated by either party with [NOTICE PERIOD] written notice.

7. GOVERNING LAW
This Agreement is governed by the laws of [STATE/JURISDICTION].

Employee Signature: _________________    Date: _________
Company Representative: _____________    Date: _________",contract
"PURCHASE AGREEMENT
This Purchase Agreement (""Agreement"") is entered into between [SELLER NAME] (""Seller"") and [BUYER NAME] (""Buyer"").

1. PURCHASE AND SALE
Seller agrees to sell and Buyer agrees to purchase the following:
- Description: [PRODUCT/SERVICE DESCRIPTION]
- Quantity: [QUANTITY]
- Unit Price: $[UNIT PRICE]
- Total Purchase Price: $[TOTAL AMOUNT]

2. DELIVERY
Seller shall deliver the goods to [DELIVERY ADDRESS] on or before [DELIVERY DATE].

3. PAYMENT TERMS
Buyer shall pay the total purchase price as follows:
- Down payment: $[DOWN PAYMENT] upon signing
- Balance: $[BALANCE] upon delivery

4. WARRANTIES
Seller warrants that the goods are free from defects and conform to specifications.

5. RISK OF LOSS
Risk of loss shall pass to Buyer upon delivery.

6. DEFAULT
If either party defaults, the non-defaulting party may pursue all available legal remedies.

Seller: _________________    Date: _________
Buyer: __________________    Date: _________",contract
"CONSULTING AGREEMENT
This consulting agreement (""Agreement"") is entered into between the parties as follows:

PARTIES:
Party A: [PARTY A NAME]
Party B: [PARTY B NAME]

RECITALS:
WHEREAS, the parties desire to enter into this agreement for mutual benefit;
WHEREAS, each party has the authority to enter into this agreement;

NOW, THEREFORE, in consideration of the mutual covenants contained herein, the parties agree as follows:

1. SCOPE OF AGREEMENT
The parties agree to the terms and conditions set forth in this agreement.

2. OBLIGATIONS
Each party shall perform their respective obligations as detailed herein.

3. TERM
This agreement shall be effective from [START DATE] to [END DATE].

4. COMPENSATION
The financial terms are as follows: [COMPENSATION DETAILS]

5. CONFIDENTIALITY
The parties agree to maintain confidentiality of proprietary information.

6. TERMINATION
This agreement may be terminated under the following conditions: [TERMINATION CONDITIONS]

7. GOVERNING LAW
This agreement shall be governed by [JURISDICTION] law.

8. ENTIRE AGREEMENT
This constitutes the entire agreement between the parties.

IN WITNESS WHEREOF, the parties have executed this agreement.

Party A: _________________    Date: _________
Party B: _________________    Date: _________",contract
"LICENSING AGREEMENT
This licensing agreement (""Agreement"") is entered into between the parties as follows:

PARTIES:
Party A: [PARTY A NAME]
Party B: [PARTY B NAME]

RECITALS:
WHEREAS, the parties desire to enter into this agreement for mutual benefit;
WHEREAS, each party has the authority to enter into this agreement;

NOW, THEREFORE, in consideration of the mutual covenants contained herein, the parties agree as follows:

1. SCOPE OF AGREEMENT
The parties agree to the terms and conditions set forth in this agreement.

2. OBLIGATIONS
Each party shall perform their respective obligations as detailed herein.

3. TERM
This agreement shall be effective from [START DATE] to [END DATE].

4. COMPENSATION
The financial terms are as follows: [COMPENSATION DETAILS]

5. CONFIDENTIALITY
The parties agree to maintain confidentiality of proprietary information.

6. TERMINATION
This agreement may be terminated under the following conditions: [TERMINATION CONDITIONS]

7. GOVERNING LAW
This agreement shall be governed by [JURISDICTION] law.

8. ENTIRE AGREEMENT
This constitutes the entire agreement between the parties.

IN WITNESS WHEREOF, the parties have executed this agreement.

Party A: _________________    Date: _________
Party B: _________________    Date: _________",contract
"PARTNERSHIP AGREEMENT
This partnership agreement (""Agreement"") is entered into between the parties as follows:

PARTIES:
Party A: [PARTY A NAME]
Party B: [PARTY B NAME]

RECITALS:
WHEREAS, the parties desire to enter into this agreement for mutual benefit;
WHEREAS, each party has the authority to enter into this agreement;

NOW, THEREFORE, in consideration of the mutual covenants contained herein, the parties agree as follows:

1. SCOPE OF AGREEMENT
The parties agree to the terms and conditions set forth in this agreement.

2. OBLIGATIONS
Each party shall perform their respective obligations as detailed herein.

3. TERM
This agreement shall be effective from [START DATE] to [END DATE].

4. COMPENSATION
The financial terms are as follows: [COMPENSATION DETAILS]

5. CONFIDENTIALITY
The parties agree to maintain confidentiality of proprietary information.

6. TERMINATION
This agreement may be terminated under the following conditions: [TERMINATION CONDITIONS]

7. GOVERNING LAW
This agreement shall be governed by [JURISDICTION] law.

8. ENTIRE AGREEMENT
This constitutes the entire agreement between the parties.

IN WITNESS WHEREOF, the parties have executed this agreement.

Party A: _________________    Date: _________
Party B: _________________    Date: _________",contract
"NON-DISCLOSURE AGREEMENT
This non-disclosure agreement (""Agreement"") is entered into between the parties as follows:

PARTIES:
Party A: [PARTY A NAME]
Party B: [PARTY B NAME]

RECITALS:
WHEREAS, the parties desire to enter into this agreement for mutual benefit;
WHEREAS, each party has the authority to enter into this agreement;

NOW, THEREFORE, in consideration of the mutual covenants contained herein, the parties agree as follows:

1. SCOPE OF AGREEMENT
The parties agree to the terms and conditions set forth in this agreement.

2. OBLIGATIONS
Each party shall perform their respective obligations as detailed herein.

3. TERM
This agreement shall be effective from [START DATE] to [END DATE].

4. COMPENSATION
The financial terms are as follows: [COMPENSATION DETAILS]

5. CONFIDENTIALITY
The parties agree to maintain confidentiality of proprietary information.

6. TERMINATION
This agreement may be terminated under the following conditions: [TERMINATION CONDITIONS]

7. GOVERNING LAW
This agreement shall be governed by [JURISDICTION] law.

8. ENTIRE AGREEMENT
This constitutes the entire agreement between the parties.

IN WITNESS WHEREOF, the parties have executed this agreement.

Party A: _________________    Date: _________
Party B: _________________    Date: _________",contract
"LEASE AGREEMENT
This lease agreement (""Agreement"") is entered into between the parties as follows:

PARTIES:
Party A: [PARTY A NAME]
Party B: [PARTY B NAME]

RECITALS:
WHEREAS, the parties desire to enter into this agreement for mutual benefit;
WHEREAS, each party has the authority to enter into this agreement;

NOW, THEREFORE, in consideration of the mutual covenants contained herein, the parties agree as follows:

1. SCOPE OF AGREEMENT
The parties agree to the terms and conditions set forth in this agreement.

2. OBLIGATIONS
Each party shall perform their respective obligations as detailed herein.

3. TERM
This agreement shall be effective from [START DATE] to [END DATE].

4. COMPENSATION
The financial terms are as follows: [COMPENSATION DETAILS]

5. CONFIDENTIALITY
The parties agree to maintain confidentiality of proprietary information.

6. TERMINATION
This agreement may be terminated under the following conditions: [TERMINATION CONDITIONS]

7. GOVERNING LAW
This agreement shall be governed by [JURISDICTION] law.

8. ENTIRE AGREEMENT
This constitutes the entire agreement between the parties.

IN WITNESS WHEREOF, the parties have executed this agreement.

Party A: _________________    Date: _________
Party B: _________________    Date: _________",contract
"SUPPLY AGREEMENT
This supply agreement (""Agreement"") is entered into between the parties as follows:

PARTIES:
Party A: [PARTY A NAME]
Party B: [PARTY B NAME]

RECITALS:
WHEREAS, the parties desire to enter into this agreement for mutual benefit;
WHEREAS, each party has the authority to enter into this agreement;

NOW, THEREFORE, in consideration of the mutual covenants contained herein, the parties agree as follows:

1. SCOPE OF AGREEMENT
The parties agree to the terms and conditions set forth in this agreement.

2. OBLIGATIONS
Each party shall perform their respective obligations as detailed herein.

3. TERM
This agreement shall be effective from [START DATE] to [END DATE].

4. COMPENSATION
The financial terms are as follows: [COMPENSATION DETAILS]

5. CONFIDENTIALITY
The parties agree to maintain confidentiality of proprietary information.

6. TERMINATION
This agreement may be terminated under the following conditions: [TERMINATION CONDITIONS]

7. GOVERNING LAW
This agreement shall be governed by [JURISDICTION] law.

8. ENTIRE AGREEMENT
This constitutes the entire agreement between the parties.

IN WITNESS WHEREOF, the parties have executed this agreement.

Party A: _________________    Date: _________
Party B: _________________    Date: _________",contract
"DISTRIBUTION AGREEMENT
This distribution agreement (""Agreement"") is entered into between the parties as follows:

PARTIES:
Party A: [PARTY A NAME]
Party B: [PARTY B NAME]

RECITALS:
WHEREAS, the parties desire to enter into this agreement for mutual benefit;
WHEREAS, each party has the authority to enter into this agreement;

NOW, THEREFORE, in consideration of the mutual covenants contained herein, the parties agree as follows:

1. SCOPE OF AGREEMENT
The parties agree to the terms and conditions set forth in this agreement.

2. OBLIGATIONS
Each party shall perform their respective obligations as detailed herein.

3. TERM
This agreement shall be effective from [START DATE] to [END DATE].

4. COMPENSATION
The financial terms are as follows: [COMPENSATION DETAILS]

5. CONFIDENTIALITY
The parties agree to maintain confidentiality of proprietary information.

6. TERMINATION
This agreement may be terminated under the following conditions: [TERMINATION CONDITIONS]

7. GOVERNING LAW
This agreement shall be governed by [JURISDICTION] law.

8. ENTIRE AGREEMENT
This constitutes the entire agreement between the parties.

IN WITNESS WHEREOF, the parties have executed this agreement.

Party A: _________________    Date: _________
Party B: _________________    Date: _________",contract
