text,label
"BULLETIN DE PAIE
Employeur: Company 34
Employé: Employee 82
Période: April 2023
Salaire brut: 3636.37€
Cotisations: 1091.45€
Net à payer: 2544.92€
Date de paiement: 30/3/2023",payslip
"BULLETIN DE PAIE
Employeur: Company 46
Employé: Employee 84
Période: November 2023
Salaire brut: 4089.48€
Cotisations: 1446.25€
Net à payer: 2643.23€
Date de paiement: 27/8/2023",payslip
"PAYSLIP
Employer: Company 17
Employee: Employee 4
Period: October 2023
Gross salary: $2795.63
Deductions: $579.40
Net pay: $2216.23
Payment date: 28/10/2023",payslip
"PAYSLIP
Employer: Company 15
Employee: Employee 93
Period: December 2023
Gross salary: $4276.93
Deductions: $1391.99
Net pay: $2884.94
Payment date: 30/10/2023",payslip
"PAYSLIP
Employer: Company 34
Employee: Employee 41
Period: September 2023
Gross salary: $4558.71
Deductions: $983.05
Net pay: $3575.66
Payment date: 29/12/2023",payslip
"PAYSLIP
Employer: Company 48
Employee: Employee 1
Period: April 2023
Gross salary: $4201.10
Deductions: $1471.10
Net pay: $2730.00
Payment date: 27/8/2023",payslip
"BULLETIN DE PAIE
Employeur: Company 5
Employé: Employee 99
Période: September 2023
Salaire brut: 4502.83€
Cotisations: 1271.00€
Net à payer: 3231.83€
Date de paiement: 28/1/2023",payslip
"BULLETIN DE PAIE
Employeur: Company 38
Employé: Employee 11
Période: September 2023
Salaire brut: 3558.14€
Cotisations: 1124.95€
Net à payer: 2433.19€
Date de paiement: 30/7/2023",payslip
"PAYSLIP
Employer: Company 25
Employee: Employee 58
Period: May 2023
Gross salary: $3451.28
Deductions: $1352.32
Net pay: $2098.96
Payment date: 30/8/2023",payslip
"PAYSLIP
Employer: Company 11
Employee: Employee 7
Period: April 2023
Gross salary: $2979.94
Deductions: $780.37
Net pay: $2199.57
Payment date: 26/9/2023",payslip
"BULLETIN DE PAIE
Employeur: Company 30
Employé: Employee 78
Période: January 2023
Salaire brut: 3003.29€
Cotisations: 1036.26€
Net à payer: 1967.03€
Date de paiement: 27/7/2023",payslip
"PAYSLIP
Employer: Company 46
Employee: Employee 76
Period: February 2023
Gross salary: $2501.53
Deductions: $951.73
Net pay: $1549.80
Payment date: 28/3/2023",payslip
"PAYSLIP
Employer: Company 23
Employee: Employee 53
Period: December 2023
Gross salary: $3581.14
Deductions: $822.86
Net pay: $2758.28
Payment date: 29/3/2023",payslip
"PAYSLIP
Employer: Company 25
Employee: Employee 74
Period: May 2023
Gross salary: $2617.25
Deductions: $640.49
Net pay: $1976.76
Payment date: 29/10/2023",payslip
"BULLETIN DE PAIE
Employeur: Company 1
Employé: Employee 83
Période: August 2023
Salaire brut: 2157.46€
Cotisations: 780.46€
Net à payer: 1377.00€
Date de paiement: 29/12/2023",payslip
"BULLETIN DE PAIE
Employeur: Company 31
Employé: Employee 94
Période: November 2023
Salaire brut: 4902.74€
Cotisations: 1900.13€
Net à payer: 3002.61€
Date de paiement: 28/8/2023",payslip
"PAYSLIP
Employer: Company 10
Employee: Employee 56
Period: August 2023
Gross salary: $3126.99
Deductions: $803.74
Net pay: $2323.25
Payment date: 29/11/2023",payslip
"PAYSLIP
Employer: Company 7
Employee: Employee 34
Period: March 2023
Gross salary: $3818.23
Deductions: $828.70
Net pay: $2989.53
Payment date: 27/6/2023",payslip
"PAYSLIP
Employer: Company 19
Employee: Employee 63
Period: December 2023
Gross salary: $3484.22
Deductions: $1039.06
Net pay: $2445.16
Payment date: 29/3/2023",payslip
"PAYSLIP
Employer: Company 36
Employee: Employee 45
Period: January 2023
Gross salary: $4642.82
Deductions: $1301.76
Net pay: $3341.06
Payment date: 27/9/2023",payslip
"PAYSLIP
Employer: Company 18
Employee: Employee 71
Period: August 2023
Gross salary: $3804.90
Deductions: $1183.58
Net pay: $2621.32
Payment date: 30/5/2023",payslip
"PAYSLIP
Employer: Company 14
Employee: Employee 63
Period: August 2023
Gross salary: $3725.99
Deductions: $1172.54
Net pay: $2553.45
Payment date: 25/4/2023",payslip
"BULLETIN DE PAIE
Employeur: Company 10
Employé: Employee 1
Période: November 2023
Salaire brut: 2263.66€
Cotisations: 563.05€
Net à payer: 1700.61€
Date de paiement: 28/3/2023",payslip
"BULLETIN DE PAIE
Employeur: Company 47
Employé: Employee 2
Période: June 2023
Salaire brut: 4923.07€
Cotisations: 1373.24€
Net à payer: 3549.83€
Date de paiement: 25/8/2023",payslip
"BULLETIN DE PAIE
Employeur: Company 33
Employé: Employee 75
Période: May 2023
Salaire brut: 2221.73€
Cotisations: 563.62€
Net à payer: 1658.11€
Date de paiement: 30/9/2023",payslip
"BULLETIN DE PAIE
Employeur: Company 29
Employé: Employee 14
Période: February 2023
Salaire brut: 3584.55€
Cotisations: 737.83€
Net à payer: 2846.72€
Date de paiement: 27/2/2023",payslip
"PAYSLIP
Employer: Company 6
Employee: Employee 7
Period: January 2023
Gross salary: $3602.09
Deductions: $1009.18
Net pay: $2592.91
Payment date: 25/2/2023",payslip
"BULLETIN DE PAIE
Employeur: Company 19
Employé: Employee 2
Période: February 2023
Salaire brut: 4441.35€
Cotisations: 1047.75€
Net à payer: 3393.60€
Date de paiement: 29/4/2023",payslip
"PAYSLIP
Employer: Company 34
Employee: Employee 37
Period: January 2023
Gross salary: $3175.84
Deductions: $1253.44
Net pay: $1922.40
Payment date: 26/7/2023",payslip
"BULLETIN DE PAIE
Employeur: Company 50
Employé: Employee 99
Période: March 2023
Salaire brut: 2220.99€
Cotisations: 679.32€
Net à payer: 1541.67€
Date de paiement: 26/5/2023",payslip
"BULLETIN DE PAIE
Employeur: Company 13
Employé: Employee 40
Période: June 2023
Salaire brut: 4774.34€
Cotisations: 1772.48€
Net à payer: 3001.86€
Date de paiement: 28/3/2023",payslip
"PAYSLIP
Employer: Company 26
Employee: Employee 41
Period: March 2023
Gross salary: $2079.02
Deductions: $595.08
Net pay: $1483.94
Payment date: 28/11/2023",payslip
"PAYSLIP
Employer: Company 31
Employee: Employee 51
Period: August 2023
Gross salary: $4107.04
Deductions: $1051.73
Net pay: $3055.31
Payment date: 25/2/2023",payslip
