text,label
"BON DE COMMANDE
Numéro: PO-3063
Date: 23/4/2023
Fournisseur: Supplier 9
Articles: 12 x Item 36
Total: 984.21€
Délai de livraison: 22 jours",purchase_order
"PURCHASE ORDER
PO Number: PO-1209
Date: 25/6/2023
Vendor: Supplier 69
Items: 8 x Item 38
Total: $4761.23
Delivery terms: 25 days",purchase_order
"PURCHASE ORDER
PO Number: PO-5949
Date: 25/12/2023
Vendor: Supplier 9
Items: 14 x Item 34
Total: $8652.43
Delivery terms: 24 days",purchase_order
"BON DE COMMANDE
Numéro: PO-7714
Date: 18/9/2023
Fournisseur: Supplier 60
Articles: 7 x Item 28
Total: 9790.45€
Délai de livraison: 20 jours",purchase_order
"BON DE COMMANDE
Numéro: PO-1955
Date: 25/10/2023
Fournisseur: Supplier 73
Articles: 10 x Item 33
Total: 2734.13€
Délai de livraison: 30 jours",purchase_order
"PURCHASE ORDER
PO Number: PO-9417
Date: 23/4/2023
Vendor: Supplier 67
Items: 7 x Item 22
Total: $7144.39
Delivery terms: 13 days",purchase_order
"PURCHASE ORDER
PO Number: PO-8983
Date: 27/9/2023
Vendor: Supplier 75
Items: 15 x Item 28
Total: $9124.27
Delivery terms: 8 days",purchase_order
"PURCHASE ORDER
PO Number: PO-2010
Date: 13/9/2023
Vendor: Supplier 25
Items: 7 x Item 11
Total: $3429.50
Delivery terms: 28 days",purchase_order
"PURCHASE ORDER
PO Number: PO-6599
Date: 9/11/2023
Vendor: Supplier 93
Items: 6 x Item 5
Total: $6836.15
Delivery terms: 23 days",purchase_order
"PURCHASE ORDER
PO Number: PO-5218
Date: 13/10/2023
Vendor: Supplier 45
Items: 18 x Item 27
Total: $988.20
Delivery terms: 23 days",purchase_order
"BON DE COMMANDE
Numéro: PO-7128
Date: 26/2/2023
Fournisseur: Supplier 67
Articles: 14 x Item 40
Total: 8151.11€
Délai de livraison: 22 jours",purchase_order
"BON DE COMMANDE
Numéro: PO-6032
Date: 9/1/2023
Fournisseur: Supplier 20
Articles: 19 x Item 25
Total: 6701.76€
Délai de livraison: 13 jours",purchase_order
"BON DE COMMANDE
Numéro: PO-6056
Date: 11/1/2023
Fournisseur: Supplier 41
Articles: 10 x Item 50
Total: 7202.94€
Délai de livraison: 26 jours",purchase_order
"BON DE COMMANDE
Numéro: PO-4481
Date: 16/5/2023
Fournisseur: Supplier 16
Articles: 20 x Item 49
Total: 6999.72€
Délai de livraison: 14 jours",purchase_order
"PURCHASE ORDER
PO Number: PO-9529
Date: 11/7/2023
Vendor: Supplier 20
Items: 15 x Item 45
Total: $1320.02
Delivery terms: 7 days",purchase_order
"PURCHASE ORDER
PO Number: PO-4129
Date: 21/4/2023
Vendor: Supplier 80
Items: 18 x Item 1
Total: $6866.18
Delivery terms: 30 days",purchase_order
